[ 65/1000] wait=True freq=0.78Hz amp=22.5deg Kp=42.2 Kd=2.3 fx=-0.066 fy=-0.002 | fell=False dist=0.13m CoT=7.115 settle_t=2.420s | skipped
[ 66/1000] wait=False freq=0.78Hz amp=22.5deg Kp=42.2 Kd=2.3 fx=-0.066 fy=-0.002 | fell=False dist=0.30m CoT=2.954 settle_t=0.000s | skipped
[ 67/1000] wait=True freq=0.77Hz amp=37.6deg Kp=23.2 Kd=8.3 fx=-0.039 fy=0.005 | fell=False dist=0.19m CoT=6.908 settle_t=1.000s | skipped
[ 68/1000] wait=False freq=0.77Hz amp=37.6deg Kp=23.2 Kd=8.3 fx=-0.039 fy=0.005 | fell=False dist=0.19m CoT=6.268 settle_t=0.000s | skipped
[ 69/1000] wait=True freq=0.54Hz amp=34.7deg Kp=34.4 Kd=6.2 fx=0.019 fy=0.002 | fell=False dist=0.41m CoT=0.904 settle_t=2.324s | skipped
[ 70/1000] wait=False freq=0.54Hz amp=34.7deg Kp=34.4 Kd=6.2 fx=0.019 fy=0.002 | fell=False dist=0.17m CoT=2.191 settle_t=0.000s | skipped
[ 71/1000] wait=True freq=0.74Hz amp=28.9deg Kp=22.6 Kd=10.8 fx=0.024 fy=0.002 | fell=False dist=0.19m CoT=1.460 settle_t=2.260s | skipped
[ 72/1000] wait=False freq=0.74Hz amp=28.9deg Kp=22.6 Kd=10.8 fx=0.024 fy=0.002 | fell=True dist=1.42m CoT=0.341 settle_t=0.000s | skipped
[ 73/1000] wait=True freq=0.67Hz amp=24.9deg Kp=31.2 Kd=11.2 fx=0.017 fy=-0.011 | fell=True dist=0.46m CoT=0.752 settle_t=4.984s | skipped
[ 74/1000] wait=False freq=0.67Hz amp=24.9deg Kp=31.2 Kd=11.2 fx=0.017 fy=-0.011 | fell=False dist=0.87m CoT=1.172 settle_t=0.000s | skipped
[ 75/1000] wait=True freq=0.79Hz amp=28.1deg Kp=36.8 Kd=12.4 fx=0.018 fy=0.003 | fell=False dist=0.02m CoT=19.359 settle_t=2.424s | skipped
[ 76/1000] wait=False freq=0.79Hz amp=28.1deg Kp=36.8 Kd=12.4 fx=0.018 fy=0.003 | fell=False dist=0.31m CoT=1.196 settle_t=0.000s | skipped
[ 77/1000] wait=True freq=0.57Hz amp=23.6deg Kp=30.9 Kd=10.2 fx=0.001 fy=-0.009 | fell=False dist=0.18m CoT=1.877 settle_t=4.780s | skipped
[ 78/1000] wait=False freq=0.57Hz amp=23.6deg Kp=30.9 Kd=10.2 fx=0.001 fy=-0.009 | fell=False dist=0.31m CoT=1.088 settle_t=0.000s | skipped
[ 79/1000] wait=True freq=0.43Hz amp=38.6deg Kp=43.7 Kd=11.6 fx=-0.019 fy=0.003 | fell=True dist=0.62m CoT=0.302 settle_t=2.404s | skipped
[ 80/1000] wait=False freq=0.43Hz amp=38.6deg Kp=43.7 Kd=11.6 fx=-0.019 fy=0.003 | fell=True dist=0.32m CoT=0.692 settle_t=0.000s | skipped
[ 81/1000] wait=True freq=0.60Hz amp=30.4deg Kp=26.4 Kd=15.0 fx=-0.027 fy=-0.013 | fell=False dist=1.93m CoT=0.696 settle_t=4.720s | skipped
[ 82/1000] wait=False freq=0.60Hz amp=30.4deg Kp=26.4 Kd=15.0 fx=-0.027 fy=-0.013 | fell=True dist=0.79m CoT=0.533 settle_t=0.000s | skipped
[ 83/1000] wait=True freq=0.72Hz amp=29.0deg Kp=23.8 Kd=10.0 fx=0.003 fy=0.004 | fell=False dist=0.10m CoT=3.880 settle_t=1.000s | skipped
[ 84/1000] wait=False freq=0.72Hz amp=29.0deg Kp=23.8 Kd=10.0 fx=0.003 fy=0.004 | fell=False dist=0.04m CoT=9.919 settle_t=0.000s | skipped
[ 85/1000] wait=True freq=0.62Hz amp=31.9deg Kp=34.5 Kd=3.8 fx=0.011 fy=-0.008 | fell=True dist=1.05m CoT=0.437 settle_t=5.050s | skipped
[ 86/1000] wait=False freq=0.62Hz amp=31.9deg Kp=34.5 Kd=3.8 fx=0.011 fy=-0.008 | fell=True dist=1.40m CoT=0.281 settle_t=0.000s | skipped
[ 87/1000] wait=True freq=0.44Hz amp=35.9deg Kp=21.4 Kd=6.5 fx=-0.048 fy=-0.001 | fell=False dist=0.80m CoT=1.089 settle_t=2.242s | skipped
[ 88/1000] wait=False freq=0.44Hz amp=35.9deg Kp=21.4 Kd=6.5 fx=-0.048 fy=-0.001 | fell=False dist=0.15m CoT=4.982 settle_t=0.000s | skipped
[ 89/1000] wait=True freq=0.50Hz amp=24.6deg Kp=34.3 Kd=5.6 fx=-0.048 fy=-0.003 | fell=True dist=0.68m CoT=0.590 settle_t=2.864s | skipped
[ 90/1000] wait=False freq=0.50Hz amp=24.6deg Kp=34.3 Kd=5.6 fx=-0.048 fy=-0.003 | fell=False dist=0.50m CoT=1.729 settle_t=0.000s | skipped
[ 91/1000] wait=True freq=0.69Hz amp=25.3deg Kp=29.9 Kd=6.2 fx=-0.067 fy=-0.018 | fell=False dist=0.28m CoT=2.874 settle_t=4.266s | skipped
[ 92/1000] wait=False freq=0.69Hz amp=25.3deg Kp=29.9 Kd=6.2 fx=-0.067 fy=-0.018 | fell=False dist=0.17m CoT=5.697 settle_t=0.000s | skipped
[ 93/1000] wait=True freq=0.41Hz amp=20.2deg Kp=39.2 Kd=10.3 fx=-0.008 fy=-0.001 | fell=False dist=0.17m CoT=1.741 settle_t=2.954s | skipped
[ 94/1000] wait=False freq=0.41Hz amp=20.2deg Kp=39.2 Kd=10.3 fx=-0.008 fy=-0.001 | fell=False dist=0.22m CoT=1.785 settle_t=0.000s | skipped
[ 95/1000] wait=True freq=0.71Hz amp=27.2deg Kp=35.6 Kd=8.6 fx=0.012 fy=0.006 | fell=False dist=0.27m CoT=1.169 settle_t=1.000s | skipped
[ 96/1000] wait=False freq=0.71Hz amp=27.2deg Kp=35.6 Kd=8.6 fx=0.012 fy=0.006 | fell=False dist=0.30m CoT=1.016 settle_t=0.000s | skipped
[ 97/1000] wait=True freq=0.52Hz amp=27.7deg Kp=35.8 Kd=7.9 fx=-0.004 fy=-0.004 | fell=False dist=0.42m CoT=1.124 settle_t=6.440s | skipped
[ 98/1000] wait=False freq=0.52Hz amp=27.7deg Kp=35.8 Kd=7.9 fx=-0.004 fy=-0.004 | fell=False dist=0.10m CoT=4.767 settle_t=0.000s | skipped
[ 99/1000] wait=True freq=0.73Hz amp=31.9deg Kp=35.0 Kd=12.7 fx=-0.044 fy=-0.016 | fell=True dist=0.50m CoT=0.277 settle_t=4.452s | skipped
[100/1000] wait=False freq=0.73Hz amp=31.9deg Kp=35.0 Kd=12.7 fx=-0.044 fy=-0.016 | fell=True dist=0.75m CoT=0.849 settle_t=0.000s | skipped
