[ 57/500] wait=True freq=0.75Hz amp=38.4deg Kp=33.8 Kd=11.1 fx=-0.036 fy=-0.013 | fell=True dist=0.63m CoT=0.540 settle_t=0.300s | skipped
[ 58/500] wait=False freq=0.75Hz amp=38.4deg Kp=33.8 Kd=11.1 fx=-0.036 fy=-0.013 | fell=True dist=0.50m CoT=0.693 settle_t=0.000s | skipped
[ 59/500] wait=True freq=0.45Hz amp=26.7deg Kp=22.3 Kd=4.8 fx=0.015 fy=-0.014 | fell=False dist=0.27m CoT=0.515 settle_t=0.300s | skipped
[ 60/500] wait=False freq=0.45Hz amp=26.7deg Kp=22.3 Kd=4.8 fx=0.015 fy=-0.014 | fell=False dist=0.31m CoT=0.490 settle_t=0.000s | skipped
[ 61/500] wait=True freq=0.68Hz amp=28.6deg Kp=31.8 Kd=3.9 fx=-0.009 fy=0.003 | fell=False dist=0.15m CoT=1.643 settle_t=0.300s | skipped
[ 62/500] wait=False freq=0.68Hz amp=28.6deg Kp=31.8 Kd=3.9 fx=-0.009 fy=0.003 | fell=False dist=0.10m CoT=2.945 settle_t=0.000s | skipped
[ 63/500] wait=True freq=0.73Hz amp=28.5deg Kp=44.1 Kd=6.7 fx=-0.026 fy=-0.006 | fell=True dist=0.47m CoT=1.118 settle_t=0.300s | skipped
[ 64/500] wait=False freq=0.73Hz amp=28.5deg Kp=44.1 Kd=6.7 fx=-0.026 fy=-0.006 | fell=False dist=0.34m CoT=2.744 settle_t=0.000s | skipped
[ 65/500] wait=True freq=0.67Hz amp=24.6deg Kp=24.7 Kd=11.4 fx=-0.055 fy=-0.005 | fell=False dist=0.15m CoT=6.670 settle_t=0.300s | skipped
[ 66/500] wait=False freq=0.67Hz amp=24.6deg Kp=24.7 Kd=11.4 fx=-0.055 fy=-0.005 | fell=False dist=0.22m CoT=4.904 settle_t=0.000s | skipped
[ 67/500] wait=True freq=0.53Hz amp=21.9deg Kp=43.6 Kd=10.1 fx=0.004 fy=0.007 | fell=False dist=0.22m CoT=1.378 settle_t=0.300s | skipped
[ 68/500] wait=False freq=0.53Hz amp=21.9deg Kp=43.6 Kd=10.1 fx=0.004 fy=0.007 | fell=False dist=0.07m CoT=4.548 settle_t=0.000s | skipped
[ 69/500] wait=True freq=0.54Hz amp=27.4deg Kp=42.9 Kd=5.6 fx=0.010 fy=-0.010 | fell=True dist=1.15m CoT=0.200 settle_t=0.300s | skipped
[ 70/500] wait=False freq=0.54Hz amp=27.4deg Kp=42.9 Kd=5.6 fx=0.010 fy=-0.010 | fell=False dist=0.29m CoT=1.305 settle_t=0.000s | skipped
[ 71/500] wait=True freq=0.45Hz amp=27.7deg Kp=32.3 Kd=3.5 fx=0.009 fy=0.005 | fell=False dist=0.19m CoT=1.406 settle_t=0.300s | skipped
[ 72/500] wait=False freq=0.45Hz amp=27.7deg Kp=32.3 Kd=3.5 fx=0.009 fy=0.005 | fell=False dist=0.37m CoT=0.723 settle_t=0.000s | skipped
[ 73/500] wait=True freq=0.44Hz amp=34.8deg Kp=34.8 Kd=10.8 fx=-0.018 fy=0.010 | fell=False dist=0.48m CoT=2.353 settle_t=0.300s | skipped
[ 74/500] wait=False freq=0.44Hz amp=34.8deg Kp=34.8 Kd=10.8 fx=-0.018 fy=0.010 | fell=False dist=0.84m CoT=1.377 settle_t=0.000s | skipped
[ 75/500] wait=True freq=0.62Hz amp=28.3deg Kp=39.7 Kd=4.4 fx=-0.000 fy=-0.014 | fell=True dist=1.23m CoT=0.339 settle_t=0.300s | skipped
[ 76/500] wait=False freq=0.62Hz amp=28.3deg Kp=39.7 Kd=4.4 fx=-0.000 fy=-0.014 | fell=True dist=0.31m CoT=1.464 settle_t=0.000s | skipped
[ 77/500] wait=True freq=0.72Hz amp=26.4deg Kp=24.9 Kd=9.7 fx=-0.021 fy=-0.009 | fell=False dist=0.31m CoT=1.774 settle_t=0.300s | skipped
[ 78/500] wait=False freq=0.72Hz amp=26.4deg Kp=24.9 Kd=9.7 fx=-0.021 fy=-0.009 | fell=True dist=1.39m CoT=0.240 settle_t=0.000s | skipped
[ 79/500] wait=True freq=0.56Hz amp=38.0deg Kp=24.3 Kd=14.1 fx=-0.008 fy=-0.008 | fell=True dist=1.12m CoT=0.277 settle_t=0.300s | skipped
[ 80/500] wait=False freq=0.56Hz amp=38.0deg Kp=24.3 Kd=14.1 fx=-0.008 fy=-0.008 | fell=True dist=0.35m CoT=0.605 settle_t=0.000s | skipped
[ 81/500] wait=True freq=0.54Hz amp=28.1deg Kp=44.4 Kd=8.7 fx=-0.018 fy=0.008 | fell=False dist=0.03m CoT=35.059 settle_t=0.300s | skipped
[ 82/500] wait=False freq=0.54Hz amp=28.1deg Kp=44.4 Kd=8.7 fx=-0.018 fy=0.008 | fell=False dist=0.06m CoT=16.763 settle_t=0.000s | skipped
