Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
0.0016,0.0022,41.95,5.31,1.087,0.819,23.0,0.784,False,0.1343,2.0627
-0.0302,-0.0193,20.62,12.92,0.986,0.799,39.93,0.732,True,0.7707,0.52
0.0029,-0.0118,39.53,3.4,1.1,1.258,28.26,0.408,False,0.2223,2.1677
-0.0527,-0.0023,42.48,3.5,1.024,1.177,36.05,0.445,True,0.9067,0.3876
-0.0687,-0.0096,39.84,12.06,1.783,0.914,32.39,0.576,True,0.6501,0.5766
-0.0623,0.0055,31.55,11.97,0.89,1.132,22.22,0.757,False,0.3532,3.8048
-0.0419,-0.0109,28.21,14.13,1.682,0.705,20.46,0.718,False,0.2646,3.6196
-0.0617,-0.0187,41.68,11.47,1.792,1.106,20.77,0.607,False,0.0936,13.0829
-0.0573,-0.0083,43.42,4.45,1.176,0.721,38.25,0.475,True,0.7311,0.2548
-0.0576,0.0094,38.87,10.85,0.836,1.063,38.91,0.66,True,0.1764,4.9625
0.0187,-0.02,24.62,10.58,0.864,1.253,22.17,0.509,True,0.7545,0.0004
0.0009,-0.0145,25.74,9.6,0.869,0.884,27.57,0.574,False,0.3094,1.2482
-0.0297,-0.0184,30.0,13.88,1.35,1.278,28.32,0.51,True,0.527,1.368
-0.0069,0.0061,34.37,10.91,1.445,1.238,35.71,0.459,False,0.3465,3.061
0.0014,-0.0033,21.66,7.69,1.434,1.271,29.15,0.513,False,0.0416,5.1908
-0.0585,0.0007,26.5,4.99,1.378,0.82,38.56,0.787,False,0.4811,3.2548
-0.0568,-0.002,30.03,6.16,0.864,1.398,38.64,0.779,False,0.3509,5.1381
-0.0545,-0.014,22.79,3.17,0.965,1.372,20.85,0.62,False,0.1096,1.5781
-0.0145,-0.0006,22.8,3.55,1.403,0.782,32.08,0.68,False,0.1057,2.3217
0.0052,0.0085,37.01,7.37,1.495,0.899,36.33,0.729,False,0.2506,2.4729
-0.0491,-0.0174,32.13,11.15,1.466,1.387,24.24,0.452,True,0.7795,0.2467
0.0165,-0.0089,29.95,11.27,1.751,0.749,28.81,0.768,False,0.1569,2.3424
-0.0366,-0.0138,23.58,11.24,1.301,1.003,39.29,0.433,True,0.6189,0.4002
-0.0354,-0.0104,28.78,14.31,0.913,0.712,30.54,0.691,False,0.4905,3.2666
-0.0238,-0.0081,25.14,14.17,1.692,0.702,39.48,0.572,True,0.1776,1.0387
