Wait_For_Settle,Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Settle_Time_S,Passed
False,-0.0163,-0.0123,27.16,6.64,1.629,1.01,32.92,0.595,False,0.1249,5.9358,0.0,False
True,-0.0655,-0.0068,37.09,5.7,0.968,1.048,21.09,0.612,False,0.2131,3.453,13.812,False
False,-0.0655,-0.0068,37.09,5.7,0.968,1.048,21.09,0.612,False,0.2288,3.3262,0.0,False
True,-0.0154,0.0038,32.22,7.46,1.41,0.892,27.88,0.768,False,0.0123,40.4466,11.062,False
False,-0.0154,0.0038,32.22,7.46,1.41,0.892,27.88,0.768,False,0.1488,3.4991,0.0,False
True,-0.0348,-0.0125,22.33,6.37,1.31,1.314,31.25,0.548,False,0.2246,2.2159,12.81,False
False,-0.0348,-0.0125,22.33,6.37,1.31,1.314,31.25,0.548,False,0.2734,1.8165,0.0,False
True,-0.0023,0.0047,24.17,11.89,0.897,0.957,20.01,0.627,False,0.0661,2.6567,11.146,False
False,-0.0023,0.0047,24.17,11.89,0.897,0.957,20.01,0.627,False,0.0875,2.2661,0.0,False
True,-0.0663,0.0085,28.84,12.81,1.679,1.24,32.79,0.62,False,0.21,11.0114,2.998,False
False,-0.0663,0.0085,28.84,12.81,1.679,1.24,32.79,0.62,False,0.2301,9.6561,0.0,False
True,-0.0243,-0.0175,38.34,14.81,1.149,1.288,34.38,0.77,True,0.8661,0.2892,16.396,False
False,-0.0243,-0.0175,38.34,14.81,1.149,1.288,34.38,0.77,True,0.3331,0.637,0.0,False
True,-0.0156,-0.0004,38.22,5.5,0.918,1.247,39.97,0.663,False,0.1002,9.5045,5.23,False
False,-0.0156,-0.0004,38.22,5.5,0.918,1.247,39.97,0.663,False,0.1389,6.2154,0.0,False
True,-0.0393,-0.0054,42.12,2.14,1.048,1.129,26.79,0.755,False,0.0565,12.4473,12.12,False
False,-0.0393,-0.0054,42.12,2.14,1.048,1.129,26.79,0.755,False,0.1371,5.309,0.0,False
True,-0.0282,-0.0153,38.01,2.17,0.95,0.749,21.47,0.48,False,0.2789,1.7594,15.818,False
False,-0.0282,-0.0153,38.01,2.17,0.95,0.749,21.47,0.48,False,0.3841,1.0576,0.0,False
True,0.0107,-0.0099,25.59,12.32,1.642,0.76,35.47,0.751,True,0.9902,0.583,17.266,False
False,0.0107,-0.0099,25.59,12.32,1.642,0.76,35.47,0.751,True,0.6296,0.9116,0.0,False
True,-0.0409,-0.0007,27.03,14.3,1.778,1.222,26.83,0.526,False,0.3045,3.5695,11.896,False
False,-0.0409,-0.0007,27.03,14.3,1.778,1.222,26.83,0.526,False,0.2947,3.9216,0.0,False
True,-0.0088,-0.0155,21.43,9.18,1.334,1.232,26.85,0.688,False,0.0584,6.9533,15.536,False
False,-0.0088,-0.0155,21.43,9.18,1.334,1.232,26.85,0.688,False,0.2319,1.9394,0.0,False
True,-0.0557,-0.0193,28.94,8.72,0.882,1.334,34.19,0.796,True,0.4879,0.6724,17.24,False
False,-0.0557,-0.0193,28.94,8.72,0.882,1.334,34.19,0.796,True,0.5803,0.6887,0.0,False
True,-0.0567,-0.009,22.28,13.62,1.675,1.037,27.06,0.638,False,0.2386,6.4264,11.968,False
False,-0.0567,-0.009,22.28,13.62,1.675,1.037,27.06,0.638,True,0.5595,1.9609,0.0,False
True,-0.0478,-0.0086,20.75,14.63,0.957,0.846,39.72,0.56,True,0.6128,1.3953,13.028,False
False,-0.0478,-0.0086,20.75,14.63,0.957,0.846,39.72,0.56,True,0.5577,0.6551,0.0,False
True,-0.0283,-0.0189,38.44,7.48,0.88,0.745,27.01,0.652,True,0.5582,1.2375,17.78,False
False,-0.0283,-0.0189,38.44,7.48,0.88,0.745,27.01,0.652,True,0.7708,0.2197,0.0,False
True,0.0098,-0.0116,34.12,2.8,1.746,1.112,22.95,0.458,False,0.0604,2.9681,16.396,False
False,0.0098,-0.0116,34.12,2.8,1.746,1.112,22.95,0.458,False,0.3224,0.7262,0.0,False
True,-0.052,-0.016,34.72,6.92,0.922,0.741,24.69,0.492,False,0.1428,6.2267,15.542,False
False,-0.052,-0.016,34.72,6.92,0.922,0.741,24.69,0.492,False,0.3276,2.552,0.0,False
True,-0.0494,-0.0059,22.92,6.86,1.61,1.234,36.27,0.529,False,0.1522,7.5218,13.84,False
False,-0.0494,-0.0059,22.92,6.86,1.61,1.234,36.27,0.529,True,0.4965,0.2885,0.0,False
True,-0.0182,-0.0113,28.57,8.65,0.904,0.911,37.28,0.456,True,1.0235,0.8681,14.944,False
False,-0.0182,-0.0113,28.57,8.65,0.904,0.911,37.28,0.456,True,0.9117,0.4835,0.0,False
True,-0.0036,0.0017,38.76,6.49,0.994,0.768,21.96,0.643,False,0.0488,4.408,12.0,False
False,-0.0036,0.0017,38.76,6.49,0.994,0.768,21.96,0.643,False,0.0409,4.0571,0.0,False
True,-0.0696,-0.0039,40.18,10.07,1.631,0.727,32.06,0.702,True,2.2024,0.2451,14.352,False
False,-0.0696,-0.0039,40.18,10.07,1.631,0.727,32.06,0.702,False,0.6384,4.3011,0.0,False
True,-0.0273,-0.0103,32.88,11.16,1.17,0.706,24.04,0.764,False,0.2825,3.0637,13.45,False
False,-0.0273,-0.0103,32.88,11.16,1.17,0.706,24.04,0.764,True,1.0671,0.5172,0.0,False
True,-0.0675,-0.0103,43.63,9.38,0.81,1.166,26.53,0.719,False,3.0417,0.6332,11.792,True
False,-0.0675,-0.0103,43.63,9.38,0.81,1.166,26.53,0.719,True,0.5374,0.59,0.0,False
True,0.0008,-0.0118,20.68,8.45,0.818,1.07,35.6,0.587,False,0.0664,5.8656,16.552,False
False,0.0008,-0.0118,20.68,8.45,0.818,1.07,35.6,0.587,True,1.3556,0.3077,0.0,False
True,-0.0343,-0.0164,29.31,5.52,1.006,0.87,36.4,0.637,True,0.6522,0.5119,16.076,False
False,-0.0343,-0.0164,29.31,5.52,1.006,0.87,36.4,0.637,False,0.2425,5.4908,0.0,False
