Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed,Avg_Velocity
31.153846153846153,0.5584615384615386,0.8,1.011111111111111,False,1.3264,0.3889,False,0.06632
31.153846153846153,0.5641025641025641,0.8,1.3222222222222222,False,1.9458,0.3472,False,0.09729
31.153846153846153,0.5697435897435899,1.0222222222222221,1.2444444444444445,False,2.7612,0.3611,True,0.13806000000000002
31.153846153846153,0.5753846153846154,1.8,0.7777777777777777,False,1.4519,0.3808,False,0.07259499999999999
31.153846153846153,0.5810256410256411,1.6888888888888889,0.7777777777777777,False,1.1833,0.7673,False,0.059165
31.153846153846153,0.5866666666666667,1.4666666666666668,0.7,False,0.8585,0.5761,False,0.042925000000000005
31.153846153846153,0.5923076923076923,1.5777777777777777,0.7,False,0.8561,0.6238,False,0.042804999999999996
31.153846153846153,0.597948717948718,1.0222222222222221,0.8555555555555555,False,1.1403,0.4772,False,0.057015
31.153846153846153,0.6035897435897436,0.9111111111111112,1.2444444444444445,False,0.9194,0.8028,False,0.04597
31.153846153846153,0.6092307692307692,1.1333333333333333,1.3222222222222222,False,1.9245,0.3664,False,0.096225
31.153846153846153,0.6148717948717949,0.9111111111111112,1.0888888888888888,False,1.7866,0.2851,False,0.08932999999999999
31.153846153846153,0.6205128205128205,1.6888888888888889,0.9333333333333333,False,0.8427,0.3602,False,0.042135
31.153846153846153,0.6261538461538462,1.4666666666666668,1.4,False,1.2951,0.4693,False,0.064755
31.153846153846153,0.6317948717948718,1.0222222222222221,1.011111111111111,False,1.0163,0.5906,False,0.050815
31.153846153846153,0.6374358974358975,0.9111111111111112,1.0888888888888888,False,0.9709,0.3803,False,0.048545
31.153846153846153,0.6430769230769231,1.4666666666666668,1.2444444444444445,False,1.1621,0.5855,False,0.058105
31.153846153846153,0.6487179487179487,1.0222222222222221,0.7,False,0.6232,0.4946,False,0.03116
31.153846153846153,0.6543589743589744,1.0222222222222221,0.7777777777777777,False,1.1923,0.4669,False,0.059614999999999994
31.153846153846153,0.66,1.2444444444444445,0.9333333333333333,False,1.1554,0.4931,False,0.05777
31.53846153846154,0.44000000000000006,1.3555555555555556,1.0888888888888888,False,1.0418,0.4027,False,0.052090000000000004
31.53846153846154,0.4456410256410257,1.1333333333333333,1.4,False,1.7103,0.4407,False,0.085515
31.53846153846154,0.45128205128205134,1.6888888888888889,0.7777777777777777,False,0.9212,0.4908,False,0.046060000000000004
