Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed,Avg_Velocity
31.923076923076923,0.456923076923077,0.8,1.1666666666666665,False,1.0952,0.4842,False,0.054759999999999996
31.923076923076923,0.46256410256410263,1.3555555555555556,1.4,False,1.0071,0.5529,False,0.050355000000000004
31.923076923076923,0.4682051282051283,1.4666666666666668,1.4,False,1.1563,0.4145,False,0.057815000000000005
31.923076923076923,0.4738461538461539,0.9111111111111112,0.9333333333333333,False,1.1817,0.489,False,0.059085
31.923076923076923,0.47948717948717956,1.5777777777777777,1.1666666666666665,False,1.2459,0.4333,False,0.062295
31.923076923076923,0.4851282051282052,1.0222222222222221,1.1666666666666665,False,0.8925,0.5226,False,0.044625
31.923076923076923,0.49076923076923085,1.5777777777777777,1.3222222222222222,False,0.8905,0.5626,False,0.044524999999999995
31.923076923076923,0.4964102564102565,1.0222222222222221,1.011111111111111,False,1.2713,0.4522,False,0.06356500000000001
31.923076923076923,0.5020512820512821,1.3555555555555556,1.4,False,1.0514,0.4264,False,0.05256999999999999
31.923076923076923,0.5076923076923078,1.4666666666666668,0.8555555555555555,False,1.0971,0.3947,False,0.054855
31.923076923076923,0.5133333333333334,1.0222222222222221,1.0888888888888888,False,1.1296,0.7203,False,0.056479999999999995
31.923076923076923,0.5189743589743591,0.8,0.7,False,1.5653,0.2849,False,0.078265
31.923076923076923,0.5246153846153847,1.3555555555555556,1.3222222222222222,False,1.7282,0.3637,False,0.08641
31.923076923076923,0.5302564102564103,0.9111111111111112,0.7777777777777777,False,1.1042,0.4982,False,0.05521
31.923076923076923,0.535897435897436,1.3555555555555556,1.2444444444444445,False,1.4055,0.4222,False,0.070275
31.923076923076923,0.5415384615384616,1.1333333333333333,0.8555555555555555,False,1.0233,0.6858,False,0.051165
31.923076923076923,0.5471794871794873,1.5777777777777777,0.9333333333333333,False,1.2636,0.703,False,0.06318
31.923076923076923,0.5528205128205128,1.4666666666666668,1.2444444444444445,False,1.4,0.5387,False,0.06999999999999999
31.923076923076923,0.5584615384615386,1.1333333333333333,0.8555555555555555,False,1.451,0.7263,False,0.07255
31.923076923076923,0.5641025641025641,1.5777777777777777,0.8555555555555555,False,0.9854,0.6126,False,0.04927
31.923076923076923,0.5697435897435899,1.4666666666666668,1.2444444444444445,False,1.2761,0.4933,False,0.063805
31.923076923076923,0.5753846153846154,1.4666666666666668,1.0888888888888888,False,0.9342,0.5553,False,0.04671
31.923076923076923,0.5810256410256411,1.6888888888888889,0.8555555555555555,False,0.9506,0.6472,False,0.04753
