Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT,Avg_Velocity,Passed
-0.0221,-0.0054,33.62,14.61,1.466,0.823,25.11,0.772,False,0.0577,15.5728,0.0028864855421785246,False
-0.0608,-0.012,27.74,7.95,1.674,1.306,33.35,0.692,True,0.5459,2.1018,0.045708427887059526,False
0.0221,0.0061,24.57,6.55,1.37,1.101,25.98,0.739,False,0.1166,1.2482,0.005828833968759167,False
-0.0265,-0.0084,26.65,13.03,0.857,1.219,33.4,0.435,False,0.6573,1.8187,0.03286255212216564,False
-0.0167,0.0082,38.36,4.57,1.726,1.0,30.1,0.583,False,0.1415,5.3211,0.007073050702533142,False
-0.0228,-0.0042,25.16,12.85,1.094,1.125,25.19,0.678,False,0.1372,5.8553,0.006862263680576892,False
-0.0149,-0.0045,34.29,7.02,0.9,0.967,36.44,0.499,False,0.3006,3.5288,0.015027567375334755,False
-0.0683,-0.0028,36.39,5.47,1.581,0.772,23.05,0.581,False,0.1737,5.65,0.008683506431145656,False
-0.009,-0.0065,35.39,6.34,1.741,1.188,36.56,0.531,False,0.081,10.099,0.004047807201764139,False
-0.0071,0.0077,35.33,13.95,1.422,1.03,23.19,0.424,False,0.485,1.0606,0.024249985652266815,False
0.0088,-0.0081,41.94,9.37,1.223,1.136,38.07,0.437,True,1.4741,0.4852,0.09819230519586825,False
-0.0469,0.0018,32.13,13.01,1.751,1.171,37.02,0.655,True,0.4176,1.7634,0.058343371117566205,False
-0.0198,0.0004,32.6,13.49,1.785,1.181,20.55,0.794,False,0.1568,4.217,0.007841300745569896,False
0.0025,-0.0141,29.44,4.22,1.558,0.964,37.12,0.662,True,1.383,0.4136,0.22919494495889953,False
-0.0145,-0.019,31.38,8.6,1.412,0.795,25.67,0.613,False,0.1244,4.8081,0.006222146209303423,False
-0.0082,-0.0036,31.23,7.88,1.375,1.128,20.85,0.783,False,0.084,2.5111,0.0041977750033457195,False
-0.0045,-0.0071,44.01,10.15,1.0,1.209,39.16,0.507,False,0.1796,5.7953,0.008979297541257987,False
-0.034,0.0073,32.28,4.09,1.793,1.371,26.88,0.744,False,0.1121,4.7742,0.005606167484825771,False
-0.0031,-0.0058,33.85,3.94,1.229,1.012,29.34,0.432,False,0.0606,4.4188,0.0030314707012466958,False
0.0131,0.007,40.67,4.13,1.132,1.004,27.57,0.572,False,0.2065,1.3628,0.01032575682079609,False
-0.0506,-0.02,40.49,5.83,0.951,1.046,32.61,0.402,True,0.9588,1.0546,0.08274475771275573,False
-0.0112,0.0007,37.84,5.07,1.313,1.345,27.46,0.41,False,0.1921,2.8759,0.00960611003947792,False
-0.0101,0.0059,37.1,6.15,1.404,0.723,39.1,0.498,True,0.369,0.546,0.22176350023940958,False
0.016,-0.0095,39.9,5.45,1.235,1.278,23.53,0.549,False,0.1475,1.1134,0.007374488503540098,False
-0.0044,0.0041,26.85,10.96,1.086,1.148,36.72,0.562,False,0.0675,9.9881,0.003375878362314029,False
-0.0532,0.0043,33.43,3.91,1.361,1.177,22.87,0.514,False,0.1228,5.7472,0.0061387243441480555,False
0.0208,-0.0042,34.01,8.96,1.5,0.766,22.97,0.617,False,0.0532,2.9172,0.002662334581499844,False
0.0067,-0.0143,21.61,5.04,1.128,0.848,36.36,0.521,False,0.0919,2.4841,0.004596241563950082,False
-0.0617,0.0042,40.4,12.23,0.813,1.326,21.36,0.658,False,0.1782,8.1577,0.008910926171800664,False
-0.0037,-0.019,33.74,11.94,1.071,1.288,22.01,0.7,True,1.0818,0.6275,0.08160787364849971,False
-0.0349,-0.017,36.25,4.35,0.912,0.861,33.92,0.585,True,0.4889,1.0073,0.06214303481866273,False
0.0173,-0.0177,21.03,5.73,1.162,1.138,24.4,0.798,False,0.1751,0.5889,0.008756422693383198,False
-0.0211,0.0096,40.63,14.21,0.862,0.84,29.49,0.419,False,0.0329,36.9698,0.0016459619515104165,False
-0.0246,0.0037,20.54,5.14,1.591,1.076,38.38,0.64,False,0.0966,5.639,0.0048311857201018965,False
-0.0457,-0.018,30.17,10.53,1.336,1.118,32.85,0.749,True,1.408,0.3078,0.5341274117288826,False
-0.0422,-0.0056,21.2,5.77,1.577,1.144,38.02,0.578,False,0.0603,14.4434,0.00301406099954173,False
-0.0047,-0.0146,37.78,3.96,1.446,0.921,35.95,0.58,True,1.4502,0.5042,0.1680821939817357,False
-0.054,0.0041,43.11,14.76,0.801,1.006,31.46,0.601,False,0.4915,4.2152,0.024572591863497636,False
0.0069,-0.0179,43.7,7.36,1.197,0.742,21.77,0.542,False,0.0876,4.5064,0.0043796265525527485,False
-0.0335,-0.0014,21.82,4.98,1.307,1.392,35.77,0.566,False,0.103,5.2503,0.0051479144808329,False
-0.0061,-0.0049,25.63,2.83,1.381,0.884,22.61,0.72,False,0.0653,0.9498,0.0032628855673192637,False
-0.047,-0.003,41.57,10.47,1.166,1.263,24.21,0.645,False,0.2004,6.647,0.010022316529504072,False
0.0146,-0.0076,27.81,11.04,0.94,1.065,25.46,0.754,False,0.0541,4.2574,0.002706044809510502,False
0.0035,0.0088,37.27,7.82,1.588,1.013,30.95,0.45,False,0.4919,1.2227,0.02459315417227283,False
-0.0014,-0.0132,28.63,13.05,1.621,0.778,34.31,0.471,False,0.4015,2.7246,0.02007496503827033,False
-0.0628,0.0073,25.5,5.62,1.508,1.158,37.24,0.687,False,0.1994,7.5398,0.00997027776431728,False
-0.04,-0.0019,20.86,13.39,1.603,0.948,37.34,0.746,True,0.1379,11.0584,0.008062831688992711,False
0.007,-0.0158,29.61,4.43,1.706,1.338,38.67,0.771,True,0.6031,0.7994,0.1495120111871912,False
0.0095,0.0054,24.02,9.48,1.278,1.356,27.31,0.479,False,0.3326,0.689,0.016629592998539385,False
-0.0462,0.0075,28.73,14.65,1.367,0.751,38.9,0.67,True,0.613,2.3802,0.04808112090423883,False
0.0178,0.0,22.42,14.34,1.035,1.362,23.66,0.443,False,0.079,2.2922,0.003949186065027008,False
-0.0328,0.0099,23.89,2.73,1.728,1.355,37.77,0.43,False,0.3989,1.8936,0.01994381079296732,False
0.0192,-0.0093,24.75,9.8,1.385,1.08,26.38,0.462,False,0.1275,1.9989,0.006373968430563296,False
-0.0616,-0.013,20.65,4.17,1.141,1.312,34.12,0.464,False,0.1948,3.3472,0.00973751769897494,False
-0.0407,0.0067,35.88,7.4,1.599,1.087,29.44,0.741,False,0.1196,9.8909,0.005981798445847267,False
-0.0028,-0.0127,43.94,3.34,1.23,0.725,21.29,0.49,False,0.1356,2.3089,0.006781643773781313,False
-0.0041,-0.0037,36.02,7.98,1.691,0.822,36.48,0.513,False,0.1486,6.0108,0.007432409537430145,False
0.0109,-0.002,43.57,10.19,0.966,0.896,35.54,0.582,False,0.1437,3.3595,0.007184157335878455,False
0.0164,0.0097,23.38,12.68,1.517,0.799,37.45,0.632,False,0.321,1.9278,0.01604803187410073,False
0.013,-0.0129,20.43,6.74,1.278,1.298,34.98,0.46,False,0.1221,2.0114,0.006107035621688851,False
-0.0546,-0.0097,42.98,11.8,1.572,0.733,25.24,0.75,False,1.2831,1.5436,0.06415524191078313,False
0.0234,0.0045,30.61,6.72,1.643,0.937,36.05,0.752,False,0.413,0.6449,0.020647674108596647,False
-0.0248,-0.0079,29.75,13.52,1.696,1.193,35.13,0.709,True,0.8544,1.0556,0.07187148782070939,False
-0.0094,0.0022,41.2,3.43,0.981,0.978,20.17,0.588,False,0.0321,4.2102,0.0016044053166722088,False
0.0094,0.002,40.6,9.89,1.794,0.887,39.24,0.681,False,0.446,1.1116,0.022299729312337084,False
-0.0652,-0.0163,39.71,13.21,1.322,1.368,31.49,0.787,True,1.5938,1.2136,0.147604677540756,False
-0.0356,-0.0051,27.92,6.8,0.805,0.764,31.56,0.676,False,0.1556,5.4433,0.007781343187103783,False
0.0113,0.0037,33.13,8.54,1.738,1.081,31.56,0.76,False,0.378,0.9475,0.01890180815576275,False
0.0013,-0.0033,38.14,4.39,1.198,1.254,25.63,0.716,False,0.0788,3.0923,0.003940501906762351,False
0.014,-0.0197,25.0,14.4,1.394,1.044,30.47,0.598,True,0.8777,0.1956,0.34966640905859675,False
-0.0454,0.0032,21.29,8.25,1.363,0.729,29.81,0.41,False,0.3476,1.585,0.017380994991376558,False
-0.0418,-0.016,42.93,6.99,1.256,0.812,28.92,0.472,False,0.6671,3.0029,0.03335633736505988,False
-0.063,-0.0135,23.47,7.24,1.638,0.992,36.1,0.408,True,0.7371,0.4134,0.17031878323480756,False
0.023,-0.0138,32.03,4.47,0.843,1.1,34.34,0.506,False,2.3384,0.4153,0.11691956216645426,True
-0.0624,0.0061,22.75,12.18,1.508,1.09,28.42,0.489,False,0.451,2.6077,0.02254787411311564,False
0.0169,0.0071,37.48,7.2,1.583,1.018,22.28,0.558,False,0.0992,2.0416,0.0049618543306408506,False
0.0213,-0.0142,37.97,7.13,1.663,1.265,20.79,0.499,False,0.0824,2.6962,0.004119443170274205,False
-0.068,-0.0101,22.22,6.61,1.684,1.214,24.85,0.679,False,0.2852,2.4902,0.014262318758258294,False
-0.0606,-0.0108,38.06,8.02,1.472,0.89,39.84,0.598,True,0.8037,0.6391,0.2559560092388042,False
0.0062,0.0026,40.82,8.47,1.293,1.198,25.56,0.701,False,0.1664,1.9078,0.008320845174758892,False
-0.0563,-0.0154,33.09,11.49,1.428,0.888,22.15,0.639,False,0.0977,11.8197,0.0048851528414228,False
-0.0327,-0.0181,21.46,4.66,0.851,1.051,28.53,0.659,False,0.1102,2.3702,0.00550813776637698,False
0.0041,0.0033,23.63,7.73,1.512,1.346,21.75,0.782,False,0.1458,0.8962,0.007289470369499339,False
0.0222,0.0012,41.48,11.27,1.589,0.709,29.95,0.713,False,0.0382,9.0299,0.0019108127200388614,False
-0.0084,0.0034,39.02,11.13,1.8,0.907,31.4,0.701,False,0.1917,3.7076,0.009583144983982541,False
-0.0636,-0.0161,26.03,13.38,1.618,1.257,27.74,0.502,True,0.1091,1.7254,0.07802646151926401,False
-0.0648,-0.0078,24.46,9.73,0.989,1.4,27.92,0.727,False,0.0795,17.2059,0.00397512203658235,False
-0.0576,-0.005,44.15,3.8,1.212,0.991,33.07,0.781,True,0.2643,0.8617,0.24159063166229836,False
-0.031,-0.0001,37.73,9.41,1.298,1.197,33.37,0.569,False,0.3349,4.5198,0.016746776248219956,False
-0.0561,0.0032,37.59,3.59,0.974,0.996,30.13,0.715,False,0.1572,8.3106,0.007860852784159152,False
0.0051,-0.0108,20.23,10.78,1.256,1.12,22.67,0.592,False,0.0771,2.353,0.00385339765252496,False
-0.0217,0.0028,26.52,12.89,0.982,0.941,37.28,0.624,False,0.4003,3.0777,0.02001709925334331,False
-0.0362,-0.0185,24.41,12.7,1.557,1.12,20.91,0.556,False,0.0948,6.309,0.004742381298392656,False
-0.0342,-0.008,29.82,8.51,1.274,1.2,27.32,0.606,False,1.0645,0.764,0.05322725970291368,False
